Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,22.480000,23.360001,20.670000,20.700001,20.700001,0
2016-01-05,20.750000,21.059999,19.250000,19.340000,19.340000,0
2016-01-06,21.670000,21.860001,19.799999,20.590000,20.590000,0
2016-01-07,23.219999,25.860001,22.400000,24.990000,24.990000,0
2016-01-08,22.959999,27.080000,22.480000,27.010000,27.010000,0
2016-01-11,25.580000,27.389999,23.830000,24.299999,24.299999,0
2016-01-12,22.969999,23.930000,21.910000,22.469999,22.469999,0
2016-01-13,21.719999,26.110001,21.440001,25.219999,25.219999,0
2016-01-14,24.750000,26.280001,23.070000,23.950001,23.950001,0
2016-01-15,28.959999,30.950001,26.670000,27.020000,27.020000,0
2016-01-18,null,null,null,null,null,null
2016-01-19,25.400000,27.590000,25.209999,26.049999,26.049999,0
2016-01-20,27.780001,32.090000,26.590000,27.590000,27.590000,0
2016-01-21,27.790001,28.430000,25.010000,26.690001,26.690001,0
2016-01-22,24.209999,24.549999,22.219999,22.340000,22.340000,0
2016-01-25,23.299999,24.309999,22.379999,24.150000,24.150000,0
2016-01-26,23.750000,24.020000,22.330000,22.500000,22.500000,0
2016-01-27,22.879999,27.219999,20.420000,23.110001,23.110001,0
2016-01-28,22.150000,23.809999,21.900000,22.420000,22.420000,0
2016-01-29,21.590000,21.740000,19.500000,20.200001,20.200001,0
2016-02-01,21.320000,23.660000,19.610001,19.980000,19.980000,0
2016-02-02,21.340000,22.420000,21.059999,21.980000,21.980000,0
2016-02-03,21.490000,27.700001,21.420000,21.650000,21.650000,0
2016-02-04,22.290001,23.139999,21.240000,21.840000,21.840000,0
2016-02-05,22.090000,24.110001,21.910000,23.379999,23.379999,0
2016-02-08,25.889999,27.719999,25.559999,26.000000,26.000000,0
2016-02-09,28.299999,28.309999,25.990000,26.540001,26.540001,0
2016-02-10,25.750000,26.600000,24.469999,26.290001,26.290001,0
2016-02-11,29.010000,30.900000,26.670000,28.139999,28.139999,0
2016-02-12,27.160000,27.570000,24.920000,25.400000,25.400000,0
2016-02-15,null,null,null,null,null,null
2016-02-16,24.959999,25.520000,23.320000,24.110001,24.110001,0
2016-02-17,23.400000,24.160000,21.830000,22.309999,22.309999,0
2016-02-18,22.160000,22.530001,21.290001,21.639999,21.639999,0
2016-02-19,22.389999,23.440001,20.520000,20.530001,20.530001,0
2016-02-22,20.139999,20.350000,19.020000,19.379999,19.379999,0
2016-02-23,19.750000,21.160000,19.540001,20.980000,20.980000,0
2016-02-24,22.280001,22.870001,20.260000,20.719999,20.719999,0
2016-02-25,20.540001,21.260000,19.100000,19.110001,19.110001,0
2016-02-26,18.889999,20.129999,18.459999,19.809999,19.809999,0
2016-02-29,20.490000,20.809999,18.379999,20.549999,20.549999,0
2016-03-01,19.840000,20.170000,17.660000,17.700001,17.700001,0
2016-03-02,17.980000,18.410000,16.780001,17.090000,17.090000,0
2016-03-03,17.250000,17.559999,16.320000,16.700001,16.700001,0
2016-03-04,16.480000,17.350000,16.049999,16.860001,16.860001,0
2016-03-07,17.980000,18.040001,16.870001,17.350000,17.350000,0
2016-03-08,18.379999,18.889999,17.820000,18.670000,18.670000,0
2016-03-09,18.559999,19.110001,18.309999,18.340000,18.340000,0
2016-03-10,18.170000,19.590000,17.059999,18.049999,18.049999,0
2016-03-11,17.090000,17.270000,16.280001,16.500000,16.500000,0
2016-03-14,17.010000,17.670000,16.690001,16.920000,16.920000,0
2016-03-15,17.600000,17.850000,16.840000,16.840000,16.840000,0
2016-03-16,15.960000,16.330000,14.890000,14.990000,14.990000,0
2016-03-17,15.340000,15.380000,13.820000,14.440000,14.440000,0
2016-03-18,14.050000,14.360000,13.750000,14.020000,14.020000,0
2016-03-21,14.570000,14.730000,13.790000,13.790000,13.790000,0
2016-03-22,14.570000,14.760000,13.750000,14.170000,14.170000,0
2016-03-23,14.570000,15.030000,14.330000,14.940000,14.940000,0
2016-03-24,16.299999,16.440001,14.710000,14.740000,14.740000,0
2016-03-25,null,null,null,null,null,null
2016-03-28,15.650000,16.040001,14.890000,15.240000,15.240000,0
2016-03-29,15.740000,15.890000,13.790000,13.820000,13.820000,0
2016-03-30,13.690000,13.890000,13.060000,13.560000,13.560000,0
2016-03-31,13.730000,14.280000,13.490000,13.950000,13.950000,0
2016-04-01,15.230000,15.280000,13.000000,13.100000,13.100000,0
2016-04-04,13.880000,14.240000,13.660000,14.120000,14.120000,0
2016-04-05,15.390000,15.720000,14.930000,15.420000,15.420000,0
2016-04-06,15.610000,15.980000,14.000000,14.090000,14.090000,0
2016-04-07,15.140000,16.770000,14.680000,16.160000,16.160000,0
2016-04-08,15.340000,15.930000,14.840000,15.360000,15.360000,0
2016-04-11,15.340000,16.260000,14.830000,16.260000,16.260000,0
2016-04-12,15.980000,16.570000,14.840000,14.850000,14.850000,0
2016-04-13,14.490000,14.530000,13.600000,13.840000,13.840000,0
2016-04-14,13.900000,14.120000,13.380000,13.720000,13.720000,0
2016-04-15,13.770000,14.190000,13.580000,13.620000,13.620000,0
2016-04-18,14.870000,14.940000,13.230000,13.350000,13.350000,0
2016-04-19,13.180000,13.880000,12.980000,13.240000,13.240000,0
2016-04-20,13.390000,13.500000,12.500000,13.280000,13.280000,0
2016-04-21,13.200000,14.140000,13.160000,13.950000,13.950000,0
2016-04-22,13.700000,14.190000,13.150000,13.220000,13.220000,0
2016-04-25,14.070000,14.760000,13.860000,14.080000,14.080000,0
2016-04-26,14.010000,14.430000,13.660000,13.960000,13.960000,0
2016-04-27,14.150000,14.950000,13.500000,13.770000,13.770000,0
2016-04-28,14.530000,15.610000,13.300000,15.220000,15.220000,0
2016-04-29,15.210000,17.090000,14.910000,15.700000,15.700000,0
2016-05-02,16.330000,16.500000,14.480000,14.680000,14.680000,0
2016-05-03,14.920000,16.420000,14.910000,15.600000,15.600000,0
2016-05-04,15.470000,16.850000,15.390000,16.049999,16.049999,0
2016-05-05,15.540000,16.450001,15.220000,15.910000,15.910000,0
2016-05-06,16.200001,16.580000,14.710000,14.720000,14.720000,0
2016-05-09,15.200000,15.390000,14.170000,14.570000,14.570000,0
